fraud_flag,payment_id,hashed_ip,device,version,adjusted_pmt_created_at,merchant_name,hashed_consumer_id,adjusted_acc_created_at,amount,hashed_buyer_email,hashed_consumer_email,hashed_buyer_phone,hashed_consumer_phone,consumer_phone_age,merchant_account_age,ltv,hashed_zip,consumer_gender,consumer_age
,1,ip_1,iPhone OS,13,2021-04-28 13:40:40.642000,Red Shop,consumer_1170,2021-03-26 11:52:01.881000,4370,email_0000002076@docomo.ne.jp,email_0000002076@docomo.ne.jp,818000003108,818000003108,106,345,3480,1204011,Male,39
,2,ip_2,iPhone OS,13,2021-04-30 19:11:16.507000,Red Shop,consumer_6145,2021-04-30 19:10:21.403000,1350,email_000000005732@icloud.com,email_000000005732@icloud.com,818000002287,818000002287,110,0,0,1155022,Female,29
,3,ip_2,iPhone OS,13,2021-04-30 19:10:06.264000,Red Shop,consumer_6145,2021-04-30 19:10:21.403000,1350,email_000000005732@icloud.com,email_000000005732@icloud.com,818000002287,818000002287,1,0,0,1155022,Male,42
,4,ip_3,Android,8,2021-04-30 09:04:22.531000,Blue Shop,consumer_5619,2021-04-30 09:04:40.176000,7250,email_0000000000000001070@yahoo.co.jp,email_0000000000000001070@yahoo.co.jp,819000005271,819000005271,200,0,0,5848915,Female,52
,5,ip_4,iPhone OS,13,2021-05-05 15:26:28.023000,Red Shop,consumer_1318,2021-04-10 12:29:29.287000,16492,email_006289@i.softbank.jp,email_006289@i.softbank.jp,818000002516,818000002516,144,567,20000,1155816,Female,26
,6,ip_5,iPhone OS,13,2021-05-03 15:56:21.261000,Blue Shop,consumer_4300,2021-05-03 15:56:32.919000,3000,email_000003817@i.softbank.jp,email_000003817@i.softbank.jp,819000006153,819000006153,41,0,0,4938113,Female,55
,7,ip_6,iPhone OS,13,2021-05-04 11:41:59.871000,Blue Shop,consumer_4892,2021-05-04 11:42:16.504000,8690,email_00000006461@docomo.ne.jp,email_00000006461@docomo.ne.jp,818000001846,818000001846,84,0,0,1045617,Male,66
,8,ip_7,iPhone OS,13,2021-05-07 18:27:48.899000,Blue Shop,consumer_2477,2021-05-07 18:28:01.727000,10950,email_0000003473@ezweb.ne.jp,email_0000003473@ezweb.ne.jp,818000001914,818000001914,174,0,0,1026811,Male,45
,9,ip_8,iPhone OS,13,2021-04-29 13:14:09.291000,Blue Shop,consumer_2320,2021-04-20 22:45:32.204000,2720,email_000000000000135@ezweb.ne.jp,email_000000000000135@ezweb.ne.jp,818000004933,818000004933,199,0,0,1034611,Male,40
,10,ip_9,Android,9,2021-04-27 18:29:54.267000,Red Shop,consumer_3424,2021-04-27 18:30:05.896000,4100,email_00000003816@gmail.com,email_00000003816@gmail.com,817000000616,817000000616,146,272,3000,4688128,Male,53
,11,ip_10,Android,9,2021-04-29 22:22:44.498000,Red Shop,consumer_266,2019-05-21 11:07:42.761000,8075,email_000000000008163@gmail.com,email_000000000008163@gmail.com,818000001757,818000001757,79,676,555,1219816,Male,17
